Ankle1,Knee1,Hip1,Hip2,Knee2,Ankle2,Wrist1,Elbow1,Shoulder1,Shoulder2,Elbow2,Wrist2,Chin,TopHead
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.59,5.66,4.73,4.21,6.69,7.81,9.53,10.38,13.1,12.39,10.81,11.12,17.32,12.67
7.63,7.0,4.34,3.9,6.39,6.8,10.1,10.13,12.22,12.36,12.12,8.59,18.68,14.1
7.61,6.12,4.6,4.11,6.59,7.46,9.72,10.3,12.8,12.38,11.25,10.27,17.78,13.15
21.86,19.93,15.93,15.87,19.97,21.05,30.08,30.69,36.86,36.07,29.62,29.87,49.61,36.9
22.18,19.26,16.05,15.03,18.85,20.41,24.15,28.56,35.19,34.8,28.28,22.71,52.29,36.54
21.97,19.7,15.97,15.59,19.58,20.82,28.09,29.97,36.3,35.65,29.18,27.48,50.51,36.78
35.47,32.07,28.96,28.46,33.13,35.25,44.75,44.99,54.0,53.69,43.33,43.21,71.81,57.44
32.04,30.28,29.43,26.25,28.63,32.34,33.61,38.32,47.22,49.91,39.03,31.86,68.86,54.3
34.24,31.45,29.12,27.72,31.57,34.23,41.02,42.75,51.73,52.43,41.89,39.42,70.82,56.39
44.31,40.91,40.02,39.93,42.68,43.58,52.75,53.3,63.65,65.44,51.66,49.51,82.45,68.95
37.32,36.97,39.94,36.27,36.46,38.42,39.58,43.34,56.34,58.42,44.63,37.3,75.82,66.21
41.81,39.54,39.99,38.71,40.52,41.77,48.34,49.95,61.2,63.1,49.31,45.43,80.23,68.04
48.76,47.01,49.44,49.25,47.61,48.29,57.15,58.93,69.9,72.65,57.82,54.84,88.12,76.83
40.96,41.19,47.6,45.18,40.78,41.17,42.88,49.0,61.99,63.19,48.21,40.54,79.67,73.08
45.97,44.99,48.82,47.88,45.24,45.79,52.37,55.59,67.25,69.49,54.61,50.06,85.29,75.57
52.49,51.35,55.95,55.9,51.4,51.58,59.97,62.53,74.31,76.69,61.32,57.57,90.37,82.5
43.66,43.87,53.51,51.58,44.8,43.56,45.82,52.37,65.91,66.48,52.43,43.86,82.51,77.29
49.33,48.75,55.13,54.45,49.11,48.76,55.23,59.12,71.49,73.28,58.35,52.99,87.74,80.75
54.97,54.81,61.86,61.33,54.58,53.84,62.93,65.25,77.57,79.44,65.04,60.58,91.89,85.86
45.66,46.96,57.93,56.03,47.68,46.18,47.2,54.93,68.73,68.96,54.91,47.55,83.24,79.76
51.64,52.08,60.53,59.55,52.18,51.15,57.66,61.78,74.61,75.94,61.66,56.23,89.0,83.82
56.74,57.33,66.49,66.01,56.99,56.1,64.55,68.11,79.73,81.37,67.2,63.18,92.77,88.12
48.12,49.95,62.18,60.76,50.46,48.81,49.13,57.12,70.83,71.25,57.48,50.42,84.34,82.51
53.66,54.76,65.04,64.25,54.72,53.54,59.38,64.42,76.75,77.99,63.96,58.91,89.95,86.24
58.12,59.75,70.81,69.34,59.52,58.68,66.64,69.68,81.34,82.97,68.77,65.31,93.69,89.5
49.88,52.73,66.14,63.54,53.86,51.31,51.7,59.49,72.56,72.25,59.5,52.91,85.07,83.33
55.17,57.31,69.24,67.39,57.55,56.1,61.63,66.26,78.4,79.39,65.68,61.17,90.81,87.43
60.54,62.16,74.27,72.66,62.42,60.17,68.16,71.02,82.95,84.17,70.79,67.25,94.15,90.88
52.35,55.82,69.93,67.35,55.92,54.3,54.18,61.31,74.29,73.63,61.98,54.94,86.17,85.53
57.61,59.96,72.81,70.88,60.16,58.11,63.48,67.76,80.05,80.65,67.85,63.14,91.48,89.09
